coid,year_q,RET
2707,2025Q4,-1.0472
2712,2025Q4,-2.6526
2718,2025Q4,-6.8212
2719,2025Q4,-5.9562
2722,2025Q4,-8.7259
2723,2025Q4,3.8123
2724,2025Q4,9.9475
2726,2025Q4,-17.2523
2727,2025Q4,0.9305
2729,2025Q4,-1.3926
2731,2025Q4,-5.7634
2732,2025Q4,-6.7463
2734,2025Q4,-3.646
2736,2025Q4,-4.918
2739,2025Q4,-1.6416
2740,2025Q4,23.1113
2743,2025Q4,-4.4524
2745,2025Q4,-6.2501
2748,2025Q4,-2.9611
2751,2025Q4,-9.1179
2752,2025Q4,-3.2555
2753,2025Q4,0.0001
2754,2025Q4,-1.2941
2755,2025Q4,-5.242
2756,2025Q4,-8.2041
2762,2025Q4,-3.0417
2801,2025Q4,1.2376
2812,2025Q4,-0.2398
2816,2025Q4,-3.8268
2820,2025Q4,1.1976
2832,2025Q4,-5.6287
2834,2025Q4,0.9464
2836,2025Q4,1.6531
2838,2025Q4,-2.0251
2845,2025Q4,1.9841
2849,2025Q4,1.4925
2850,2025Q4,-0.0001
2851,2025Q4,-0.0001
2852,2025Q4,-1.0694
2855,2025Q4,-2.449
2867,2025Q4,10.1929
2880,2025Q4,5.2634
2881,2025Q4,3.7798
2882,2025Q4,18.0687
2883,2025Q4,9.5239
2884,2025Q4,11.2029
2885,2025Q4,8.8644
2886,2025Q4,-0.2497
2887,2025Q4,13.0192
2889,2025Q4,-1.194
2890,2025Q4,6.1227
2891,2025Q4,15.5352
2892,2025Q4,6.5219
2897,2025Q4,0.7716
2901,2025Q4,-0.8048
2903,2025Q4,-8.7136
2904,2025Q4,-0.5833
2905,2025Q4,0.3164
2906,2025Q4,-4.8149
2908,2025Q4,-0.7335
2910,2025Q4,-1.9002
2911,2025Q4,23.721
2912,2025Q4,-7.5157
2913,2025Q4,-3.623
2915,2025Q4,0.5475
2916,2025Q4,0.5123
2923,2025Q4,-2.6765
2924,2025Q4,-23.1182
2926,2025Q4,-5.7971
2929,2025Q4,-2.7029
2937,2025Q4,2.5375
2939,2025Q4,-7.8156
2941,2025Q4,0.7609
2945,2025Q4,0.3978
2947,2025Q4,-0.606
2948,2025Q4,2.1504
2949,2025Q4,-3.4337
3002,2025Q4,-4.0227
3003,2025Q4,0.3096
3004,2025Q4,4.0153
3005,2025Q4,-6.7729
3006,2025Q4,50.3187
3008,2025Q4,13.1517
3010,2025Q4,1.4151
3011,2025Q4,18.4316
3013,2025Q4,-0.7605
3014,2025Q4,-4.5645
3015,2025Q4,-2.7626
3016,2025Q4,3.1281
3017,2025Q4,9.8179
3018,2025Q4,-4.5836
3019,2025Q4,0.0001
3021,2025Q4,3.4682
3022,2025Q4,-4.5859
3023,2025Q4,-11.8993
3024,2025Q4,5.6604
3025,2025Q4,25.0
3026,2025Q4,-2.8572
3027,2025Q4,-1.0872
3028,2025Q4,3.8943
3029,2025Q4,-3.83
3030,2025Q4,23.948
3031,2025Q4,0.7694
3032,2025Q4,-6.6424
3033,2025Q4,-0.3273
3034,2025Q4,-3.9796
3035,2025Q4,-2.0115
3036,2025Q4,-4.1959
3037,2025Q4,17.9622
3038,2025Q4,11.9905
3040,2025Q4,-8.3612
3041,2025Q4,-7.3787
3042,2025Q4,-4.0573
3043,2025Q4,1.6628
3044,2025Q4,3.7583
3045,2025Q4,0.4629
3046,2025Q4,8.6911
3047,2025Q4,2.8328
3048,2025Q4,6.266
3049,2025Q4,-10.7245
3050,2025Q4,15.3188
3051,2025Q4,-3.4031
3052,2025Q4,6.1673
3054,2025Q4,37.2093
3055,2025Q4,21.9437
3056,2025Q4,-7.6922
3057,2025Q4,33.4396
3058,2025Q4,2.9266
3059,2025Q4,-7.1346
3060,2025Q4,13.5956
3062,2025Q4,-2.3061
3064,2025Q4,-1.389
3066,2025Q4,4.5804
3067,2025Q4,2.7471
3071,2025Q4,6.4073
3073,2025Q4,-5.1164
3078,2025Q4,-2.9209
3081,2025Q4,16.0987
3083,2025Q4,2.3915
3085,2025Q4,-10.5263
3086,2025Q4,-4.8674
3088,2025Q4,-1.0347
3090,2025Q4,10.6862
3092,2025Q4,67.3204
3093,2025Q4,2.3905
3094,2025Q4,0.4185
3095,2025Q4,-0.8727
3105,2025Q4,27.9718
3114,2025Q4,7.5698
3115,2025Q4,-1.8519
3118,2025Q4,-1.1977
3122,2025Q4,-7.4889
3128,2025Q4,9.5414
3130,2025Q4,0.0
3131,2025Q4,5.7629
