coid,year_q,K_avg
6224,2021Q3,36.97937527960196
6224,2021Q4,40.56024457208695
6224,2022Q1,34.45549219395319
6224,2022Q2,30.703584589119544
6224,2022Q3,34.13650552947928
6224,2022Q4,49.36898379893823
6224,2023Q1,61.593866998152016
6224,2023Q2,47.63427477924928
6224,2023Q3,28.11439429649471
6224,2023Q4,46.50632382666294
6224,2024Q1,37.05565615068138
6224,2024Q2,44.534138232001105
6224,2024Q3,57.89134730992757
6224,2024Q4,39.485611596933026
6224,2025Q1,43.833402824361414
6224,2025Q2,56.54084794493373
6224,2025Q3,42.09825860075988
6224,2025Q4,37.730762258235636
6225,2020Q1,43.80592184567445
6225,2020Q2,67.6382966537425
6225,2020Q3,55.416410500153454
6225,2020Q4,50.27657362948725
6225,2021Q1,56.46156293806738
6225,2021Q2,49.94635947517158
6225,2021Q3,44.549518270811724
6225,2021Q4,61.23477086495347
6225,2022Q1,63.19669358944047
6225,2022Q2,49.93182482104709
6225,2022Q3,42.38578395578508
6225,2022Q4,32.49548234428593
6225,2023Q1,31.06214394782632
6225,2023Q2,37.064102273392756
6225,2023Q3,52.52315443084347
6225,2023Q4,54.94019746358148
6225,2024Q1,53.775611063588556
6225,2024Q2,59.493127404906055
6225,2024Q3,54.92425223067026
6225,2024Q4,53.11383674375369
6225,2025Q1,45.01011222243735
6225,2025Q2,41.757960035435616
6225,2025Q3,60.84786246840455
6225,2025Q4,47.205213394437266
6226,2020Q1,36.748638405112885
6226,2020Q2,54.118053651066454
6226,2020Q3,43.87238369554145
6226,2020Q4,60.646054017292265
6226,2021Q1,44.06718088448355
6226,2021Q2,46.119483614825874
6226,2021Q3,49.69592140260508
6226,2021Q4,45.49337820352081
6226,2022Q1,35.30837879555417
6226,2022Q2,44.832038310173274
6226,2022Q3,34.678087298058415
6226,2022Q4,38.597659568844726
6226,2023Q1,47.67853300450069
6226,2023Q2,37.21283982008004
6226,2023Q3,27.444359662025942
6226,2023Q4,49.712249525640914
6226,2024Q1,45.65880512702591
6226,2024Q2,52.441377709404314
6226,2024Q3,42.99319125799097
6226,2024Q4,39.552679768886335
6226,2025Q1,34.58563073665287
6226,2025Q2,48.68433050979137
6226,2025Q3,42.585235318869934
6226,2025Q4,44.541179906323414
6230,2020Q1,44.005156212804835
6230,2020Q2,55.163828841457985
6230,2020Q3,36.20005991559343
6230,2020Q4,30.01002582105929
6230,2021Q1,38.28060795786664
6230,2021Q2,51.27739575952309
6230,2021Q3,25.260495070543122
6230,2021Q4,49.955027410733635
6230,2022Q1,24.80363309878205
6230,2022Q2,35.59738111275175
6230,2022Q3,36.19936954420412
6230,2022Q4,47.759510122495065
6230,2023Q1,51.11827151399981
6230,2023Q2,48.07654392847419
6230,2023Q3,35.120805995512015
6230,2023Q4,40.611502519447335
6230,2024Q1,48.76496762226211
6230,2024Q2,50.23369047932369
6230,2024Q3,33.50781020361907
6230,2024Q4,35.617624748304124
6230,2025Q1,50.188657155549855
6230,2025Q2,39.61729018028338
6230,2025Q3,47.37913369982744
6230,2025Q4,35.974679221054195
6235,2020Q1,35.97675767592603
6235,2020Q2,60.0112072010977
6235,2020Q3,45.79826711183867
6235,2020Q4,46.72624955824061
6235,2021Q1,52.676311841131124
6235,2021Q2,42.752011757530894
6235,2021Q3,41.37480728503825
6235,2021Q4,57.30975194434223
6235,2022Q1,44.64414078630712
6235,2022Q2,48.942163946441866
6235,2022Q3,41.4275405555524
6235,2022Q4,45.59432804233649
6235,2023Q1,69.64655715163119
6235,2023Q2,71.43671435669977
6235,2023Q3,46.86209504681755
6235,2023Q4,39.18046555538632
6235,2024Q1,45.84370136711204
6235,2024Q2,38.6809855476059
6235,2024Q3,45.26162298334549
6235,2024Q4,39.831674662140045
6235,2025Q1,38.572480554189546
6235,2025Q2,47.638930477005694
6235,2025Q3,54.93503611652457
6235,2025Q4,36.79296796321178
6239,2020Q1,44.15315556726666
6239,2020Q2,59.19817421299278
6239,2020Q3,39.51994516791204
6239,2020Q4,54.238544639557915
6239,2021Q1,55.11381299852967
6239,2021Q2,61.836038804564296
6239,2021Q3,57.79770892424128
6239,2021Q4,41.75953916884557
6239,2022Q1,46.50465893643403
6239,2022Q2,52.35963012468549
6239,2022Q3,44.18959950344745
6239,2022Q4,58.547952109345886
6239,2023Q1,63.97697119898507
6239,2023Q2,72.35194492168502
6239,2023Q3,64.11074283306478
6239,2023Q4,63.010992249914516
6239,2024Q1,59.40438813684667
6239,2024Q2,44.31437167589045
6239,2024Q3,42.69367729320364
6239,2024Q4,39.76243309450032
6239,2025Q1,42.26778458488392
6239,2025Q2,55.63891897557975
6239,2025Q3,54.437521015434136
6239,2025Q4,52.21611611346572
6243,2020Q1,33.223717828300636
6243,2020Q2,61.55552382639189
