coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1460,2025,-0.95,-0.27,-3.1,-0.97,14.97,-4.22992440253054,11333443,49.7
1463,2025,1.53,0.13,1.77,-0.55,10.97,-150.62559613981935,3136507,12.91
1464,2025,1.54,0.35,0.95,2.88,19.33,-0.33284592057743906,16986855,66.15
1465,2025,-1.83,-0.33,-2.08,-19.36,-3.51,6.585027143037495,1748522,10.06
1466,2025,-2.55,-1.07,-7.46,-3.43,6.74,7.423257444564327,3682584,55.54
1467,2025,-0.18,-0.45,-4.01,-0.04,19.2,-31.725555045026343,8725787,65.91
1468,2025,1.23,0.21,1.88,-0.27,12.81,-2.744641270086612,3249829,54.24
1470,2025,5.73,0.78,6.57,10.39,24.19,-3.1255619386528615,1160341,12.66
1471,2025,0.31,0.03,0.33,-52.45,8.53,-99.61449045054589,1677600,7.6
1472,2025,7.09,6.4,15.53,10.31,14.09,0.4506630482520829,5421704,57.61
1473,2025,1.88,0.57,2.1,1.35,15.68,-0.39754735680157277,5317501,28.54
1474,2025,1.56,0.34,1.91,0.12,11.33,-3.249923751531658,3679110,41.06
1475,2025,7.86,2.72,11.38,16.94,22.22,45.62084531513749,2303013,32.57
1476,2025,15.7,20.1,18.84,18.67,28.64,-0.682287784082384,35036913,15.41
1477,2025,16.69,14.65,25.36,13.6,24.87,0.28420044369889036,23904412,40.7
1503,2025,5.7,6.27,8.95,11.56,20.89,-1.3228472907838418,60537412,38.68
1504,2025,4.45,2.42,6.25,8.95,23.83,-15.96613178967116,144575878,31.96
1506,2025,0.65,0.06,0.68,-0.09,16.33,59.60253582145909,3296606,12.95
1512,2025,2.11,0.19,2.84,-2.38,32.09,5.3535872867492404,2836003,76.93
1513,2025,8.55,8.07,19.89,18.13,25.75,32.77985963868451,47698790,56.21
1514,2025,7.77,3.3,14.78,10.11,18.74,0.7475128707792089,13279840,51.75
1515,2025,2.48,0.97,4.37,-0.38,12.73,-6.656536000692897,8272858,51.79
1516,2025,0.85,0.04,0.87,-15.16,5.84,-0.04370820402989641,208908,1.07
1517,2025,-3.15,-0.69,-3.82,-16.27,3.17,5.042612780217705,4219584,16.77
1519,2025,17.59,13.99,44.58,21.4,40.48,5.84474315111425,28210763,61.65
1521,2025,2.31,0.87,3.56,2.95,16.28,0.24545900834560627,2992395,37.66
1522,2025,2.93,1.72,6.19,4.91,21.87,-1.8237977878455676,39196637,73.19
1524,2025,6.55,1.95,10.57,16.19,27.87,5.52191016633979,5199171,41.99
1525,2025,4.12,3.21,4.71,3.31,14.78,-23.78384973361763,5706339,11.97
1526,2025,0.38,-0.11,-0.49,-6.69,21.78,-2.337511039290479,2327923,41.45
1527,2025,3.87,1.52,4.34,6.04,20.93,32.5599480220435,5355518,9.98
1528,2025,-0.41,-0.35,-3.11,1.73,31.1,1.1095934672776409,5237014,57.92
1529,2025,5.76,1.01,9.18,7.69,18.64,-71.71720884641304,3174775,40.76
1530,2025,-3.49,-2.45,-6.69,-3.98,14.26,-7.243391400201737,5660254,42.02
1531,2025,-0.44,-0.12,-0.58,-2.82,20.17,-19.389166206716684,4282309,15.91
1532,2025,1.97,0.98,3.76,7.28,23.99,-2.081437490809731,53439466,63.91
1533,2025,2.27,0.58,4.08,3.71,29.89,-3.9239780658025922,9199686,69.84
