coid,year,ppo_year_avg
1313 聯成,2023,0.2493888586961831
1313 聯成,2024,-0.9240627454575618
1313 聯成,2025,0.28453897856528776
1314 中石化,2020,0.13336508454605586
1314 中石化,2021,0.364040049640569
1314 中石化,2022,-0.37737265847935236
1314 中石化,2023,-0.035474080461321514
1314 中石化,2024,-0.4782942751800543
1314 中石化,2025,0.07972993499180249
1315 達新,2020,0.47894246856260697
1315 達新,2021,0.004645431437130326
1315 達新,2022,-0.2840661616323636
1315 達新,2023,0.1980860846270298
1315 達新,2024,0.08170094491847407
1315 達新,2025,-0.037421109904948666
1316 上曜,2020,-0.28081885458420947
1316 上曜,2021,0.9113841420263612
1316 上曜,2022,-1.1457205189982844
1316 上曜,2023,0.21709581962213348
1316 上曜,2024,0.13267335928901733
1316 上曜,2025,0.287523887258952
1319 東陽,2020,-0.30233885494778634
1319 東陽,2021,-0.2514424787492382
1319 東陽,2022,0.526186658576498
1319 東陽,2023,1.1750701406865418
1319 東陽,2024,0.7055546537364691
1319 東陽,2025,-0.4102060411174281
1321 大洋,2020,-0.11585653722059357
1321 大洋,2021,0.021711297693904587
1321 大洋,2022,-0.05446850729637306
1321 大洋,2023,0.23371881185938576
1321 大洋,2024,-0.2629358823020122
1321 大洋,2025,0.23564221848759737
1323 永裕,2020,0.025893273387225295
1323 永裕,2021,0.18706739877524986
1323 永裕,2022,-0.01712179394860629
1323 永裕,2023,-0.04041420335053893
1323 永裕,2024,-0.37336237612400036
1323 永裕,2025,-0.5872687446626255
1324 地球,2020,0.1299596411533456
1324 地球,2021,0.2602272466198877
1324 地球,2022,-0.13253001794635288
1324 地球,2023,1.0116134228450748
1324 地球,2024,-0.6721897138023084
1324 地球,2025,-0.46268708642707035
1325 恒大,2020,2.73932269019004
1325 恒大,2021,-1.1753654642426217
1325 恒大,2022,-0.9367538484945819
1325 恒大,2023,0.6775684575298335
1325 恒大,2024,-0.6894161251123759
1325 恒大,2025,0.36319760756327457
1326 台化,2020,-0.10001424987342787
1326 台化,2021,0.053261094709731886
1326 台化,2022,-0.1259493118060904
1326 台化,2023,-0.20570938565402397
1326 台化,2024,-1.3821457717336538
1326 台化,2025,0.22575063286101524
1336 台翰,2020,1.2827530477197682
1337 再生-KY,2020,0.6769385237510245
1337 再生-KY,2021,-0.441517294366821
1337 再生-KY,2022,-0.0662707530250811
1337 再生-KY,2023,0.0648391371103005
1337 再生-KY,2024,-0.1644314641692918
1337 再生-KY,2025,-0.9351037035687357
1338 廣華-KY,2020,-0.18758992781757441
1338 廣華-KY,2021,-0.015770714231636052
1338 廣華-KY,2022,-0.3230162792904846
1338 廣華-KY,2023,0.024076602862391536
1338 廣華-KY,2024,-0.8169398198061391
1338 廣華-KY,2025,-0.807577663106414
1339 昭輝,2020,-0.20485399344452768
1339 昭輝,2021,-0.2563609422088893
1339 昭輝,2022,0.40569972058291826
1339 昭輝,2023,0.9936691891861664
1339 昭輝,2024,-0.28601045647553663
1339 昭輝,2025,-0.4427561644974738
1340 勝悅-KY,2020,-0.509784783868633
1340 勝悅-KY,2021,-0.2099307101550883
1340 勝悅-KY,2022,-0.23661129489124705
1340 勝悅-KY,2023,0.23544977881628754
1340 勝悅-KY,2024,-0.346369764241553
1340 勝悅-KY,2025,-0.8406632308159399
1341 富林-KY,2020,0.0744736926233223
1341 富林-KY,2021,0.3986653644017137
1341 富林-KY,2022,0.22128263619336705
1341 富林-KY,2023,-0.04885055086456647
1341 富林-KY,2024,0.25790047988740694
1341 富林-KY,2025,-0.23069206653804833
1342 八貫,2020,-0.006280684601104292
1342 八貫,2021,0.10742255434490172
1342 八貫,2022,1.367540749308556
1342 八貫,2023,-0.08378821925383652
1342 八貫,2024,-0.047560480284568295
1342 八貫,2025,-0.38257625285365215
1402 遠東新,2020,-0.042221867403191254
1402 遠東新,2021,0.1210747520735537
1402 遠東新,2022,0.2928477942779361
1402 遠東新,2023,0.021852751610419857
1402 遠東新,2024,0.1453350810113818
1402 遠東新,2025,-0.2945429601314174
1409 新纖,2020,0.2775284242176382
1409 新纖,2021,0.8157193803401573
1409 新纖,2022,-0.09322752810663851
1409 新纖,2023,-0.13187124499308972
1409 新纖,2024,0.01887350274369282
1409 新纖,2025,0.04500758217830125
1410 南染,2020,0.20951903703372243
1410 南染,2021,0.21742198656497574
1410 南染,2022,0.24388414318299756
1410 南染,2023,-0.12735472002657536
1410 南染,2024,-0.06719085116014027
1410 南染,2025,-0.12376748569895486
1413 宏洲,2020,-0.21834805850975808
1413 宏洲,2021,0.2861642707695815
1413 宏洲,2022,-0.18861182459735626
1413 宏洲,2023,-0.25265297109308116
1413 宏洲,2024,0.4696741709737042
1413 宏洲,2025,-0.20420562869597952
1414 東和,2020,1.250403483183369
1414 東和,2021,0.5481882098004153
1414 東和,2022,-0.0944818548722185
1414 東和,2023,0.004201463829625438
1414 東和,2024,0.6062856424883174
1414 東和,2025,-0.9741258091872327
1416 廣豐,2020,-0.31276101244247184
1416 廣豐,2021,-0.011757387219045422
1416 廣豐,2022,-0.06543341722508375
1416 廣豐,2023,0.2992652191357475
1416 廣豐,2024,0.2830066405382495
1416 廣豐,2025,-0.18479275038652362
1417 嘉裕,2020,0.19983036746535957
1417 嘉裕,2021,0.5273575045421969
1417 嘉裕,2022,0.006696052307905716
1417 嘉裕,2023,-0.29910764815731716
1417 嘉裕,2024,-0.33799196673765486
1417 嘉裕,2025,-0.3387130275567327
1418 東華,2020,0.32814931923494883
1418 東華,2021,0.7458959240288144
1418 東華,2022,0.3854560491779182
1418 東華,2023,0.7011658338001486
1418 東華,2024,0.5358648711159552
1418 東華,2025,-1.074202554298659
1419 新紡,2020,0.03147492669472019
1419 新紡,2021,0.06518152982802194
1419 新紡,2022,-0.0854370040414279
1419 新紡,2023,0.37542709631681936
1419 新紡,2024,-0.03711090611251227
1419 新紡,2025,1.1503588378439147
1423 利華,2020,0.7388900012413282
1423 利華,2021,0.5960638631485696
1423 利華,2022,0.0931970765333533
1423 利華,2023,0.46495542766993786
1423 利華,2024,0.3264002566593426
1423 利華,2025,0.16363003938673393
1432 大魯閣,2020,0.14564529126263281
1432 大魯閣,2021,-0.2939872911384173
1432 大魯閣,2022,-0.11734972218603787
1432 大魯閣,2023,0.7560339908542516
1432 大魯閣,2024,0.16641514269051821
1432 大魯閣,2025,-0.3570958789304967
1434 福懋,2020,-0.08752854050721269
1434 福懋,2021,-0.05913471267967382
1434 福懋,2022,-0.0956070455103241
1434 福懋,2023,0.025384336511990676
1434 福懋,2024,-0.4833059305607362
1434 福懋,2025,-0.435826914274891
1435 中福,2020,2.1501197612202922
1435 中福,2021,0.3280724552993571
1435 中福,2022,0.6635941233074959
1435 中福,2023,-0.1633236957291671
1435 中福,2024,-0.394789320020682
1435 中福,2025,-1.2632962307688431
1436 華友聯,2020,0.1862757869919888
1436 華友聯,2021,0.7293085672122182
1436 華友聯,2022,0.19805907956289479
1436 華友聯,2023,0.7721843356665469
1436 華友聯,2024,1.006210661675466
1436 華友聯,2025,-0.9420541273847264
1437 勤益控,2020,-0.01584110718655409
1437 勤益控,2021,0.16556792404711243
1437 勤益控,2022,0.0760359634856005
1437 勤益控,2023,0.33868689456201057
1437 勤益控,2024,0.2689911721906812
1437 勤益控,2025,0.09347073887421228
1438 三地開發,2020,-0.15786574807685397
1438 三地開發,2021,0.4860209823670555
1438 三地開發,2022,0.053255701362982306
1438 三地開發,2023,0.04299488059347879
1438 三地開發,2024,1.0097682109936308
1438 三地開發,2025,-1.3939296399204923
1439 雋揚,2020,0.05486384389396808
1439 雋揚,2021,-0.3371671898518448
1439 雋揚,2022,-0.19000437734428813
1439 雋揚,2023,0.2486205456879304
1439 雋揚,2024,0.5431558414847287
1439 雋揚,2025,-0.31956271102509404
1440 南紡,2020,0.6224071707807131
1440 南紡,2021,0.8897459435423983
1440 南紡,2022,-0.6518890692432125
1440 南紡,2023,-0.11126918658165316
1440 南紡,2024,-0.12652840684063404
1440 南紡,2025,-0.16283642690875202
1441 大東,2020,-0.07165716941829364
1441 大東,2021,0.13811740564986644
1441 大東,2022,-0.3209325160941785
1441 大東,2023,-0.040223887460529385
1441 大東,2024,0.0007270817386974881
1441 大東,2025,-0.8342483853561834
1442 名軒,2020,0.03171211212795132
1442 名軒,2021,0.4830967819755867
1442 名軒,2022,0.9388774936301179
1442 名軒,2023,0.18651345135904662
1442 名軒,2024,1.3015030028753025
1442 名軒,2025,-2.3422618948753096
1443 立益物流,2020,0.27803643115162613
1443 立益物流,2021,0.6949237953762872
1443 立益物流,2022,0.39710929462646366
1443 立益物流,2023,0.5577597642613298
1443 立益物流,2024,0.19240637310001013
