coid,year_q,ppo_quarter_end
6568,2020Q3,-2.38004390944314
6568,2020Q4,-0.10615687237871133
6569,2020Q1,-0.20158331665310722
6569,2020Q2,0.41809393781113435
6569,2020Q3,-0.7410261993289151
6569,2020Q4,0.8443589581800346
6570,2020Q1,-3.79539293447849
6570,2020Q2,3.096978290885236
6570,2020Q3,-4.369996018499916
6570,2020Q4,-0.749943193355347
6573,2020Q1,-11.009138688289188
6573,2020Q2,0.43568118731393624
6573,2020Q3,-0.78641536444474
6573,2020Q4,-0.022916675611589468
6573,2021Q1,1.2388745491592543
6573,2021Q2,2.538476766212284
6573,2021Q3,-2.3404940758824355
6573,2021Q4,-0.5462714243307653
6573,2022Q1,-0.2695174826219843
6573,2022Q2,-2.2004284736901116
6573,2022Q3,-3.3325020854241396
6573,2022Q4,-0.33955608072225374
6573,2023Q1,3.840379220066157
6573,2023Q2,1.5774015361437583
6573,2023Q3,-0.9933907309283232
6573,2023Q4,-0.07176292601834104
6573,2024Q1,-2.331675283816322
6573,2024Q2,0.9376636315370337
6573,2024Q3,2.882301950867076
6573,2024Q4,-0.580490696235485
6573,2025Q1,-2.529852248438733
6573,2025Q2,-4.109922644835253
6573,2025Q3,0.3240247970660788
6573,2025Q4,-0.9665315126576729
6574,2020Q1,-8.165758502378747
6574,2020Q2,-0.32378348850820443
6574,2020Q3,-0.14156623049006836
6574,2020Q4,0.07106471546977992
6576,2020Q1,-9.512856155767219
6576,2020Q2,10.871669371162106
6576,2020Q3,0.8283326794326836
6576,2020Q4,-1.3302517891539694
6577,2020Q1,-2.5512285940920973
6577,2020Q2,1.56667606944894
6577,2020Q3,-1.3118845856981607
6577,2020Q4,-2.39889628227478
6578,2020Q1,-4.245337860522138
6578,2020Q2,-0.22148740379656162
6578,2020Q3,-1.4604482758835091
6578,2020Q4,1.3975518770197275
6579,2020Q1,-4.681778269431184
6579,2020Q2,4.34639766147885
6579,2020Q3,-0.8803460247709557
6579,2020Q4,0.6761425140983631
6579,2021Q1,0.02717363604109283
6579,2021Q2,-0.22091807801264715
6579,2021Q3,-0.5053237469746545
6579,2021Q4,1.202213830320675
6579,2022Q1,1.7994385191179958
6579,2022Q2,0.5331172103967763
6579,2022Q3,-3.9707280523867974
6579,2022Q4,0.5578387958193167
6579,2023Q1,0.6288486535248544
6579,2023Q2,2.217712500500369
6579,2023Q3,0.6664538486480277
6579,2023Q4,-0.3428711283785341
6579,2024Q1,0.988810114479505
6579,2024Q2,0.5600973875084685
6579,2024Q3,0.9438224515229188
6579,2024Q4,0.7108666727259605
6579,2025Q1,0.6468197024688908
6579,2025Q2,-0.3984487867470492
6579,2025Q3,0.0018788679975376302
6579,2025Q4,-1.8622240570272988
6581,2020Q1,-11.315338847406439
6581,2020Q2,1.303129126827907
6581,2020Q3,-0.8498497491232158
6581,2020Q4,-0.5500920524702199
6581,2021Q1,2.1458010566053156
6581,2021Q2,0.19406912183369004
6581,2021Q3,0.23971945594272415
6581,2021Q4,0.2526664429684094
6581,2022Q1,0.9824009112675478
6581,2022Q2,-1.7635972733862872
6581,2022Q3,-1.8559549297274756
6581,2022Q4,-0.6100630113493973
6581,2023Q1,-0.12456053007463734
6581,2023Q2,-0.21248200864354214
6581,2023Q3,-0.21598747997900125
6581,2023Q4,0.38585898807364355
6581,2024Q1,1.0277999141211966
6581,2024Q2,0.459050454441656
6581,2024Q3,0.3717933041067148
6581,2024Q4,-0.029952029511264425
6581,2025Q1,1.5028657555698166
6581,2025Q2,0.5279502699157008
6581,2025Q3,0.28421647149710433
6581,2025Q4,-0.9509172468996947
6582,2020Q1,0.5095069578131243
6582,2020Q2,0.26560454906677783
6582,2020Q3,0.38535328324147516
6582,2020Q4,-1.5129524833616912
6582,2021Q1,9.238246962928924
6582,2021Q2,1.3156989563134438
6582,2021Q3,-2.518172065750015
6582,2021Q4,-0.7809725993522613
6582,2022Q1,-3.0621079931997413
6582,2022Q2,-3.6284702718146296
6582,2022Q3,-4.907893942853915
6582,2022Q4,0.02257090989224011
6582,2023Q1,-1.0310530529680766
6582,2023Q2,0.13685476763126855
