coid,year,K_avg
1419,2020,47.55968166495837
1419,2021,50.46202083176253
1419,2022,45.002222203374316
1419,2023,56.460153533832155
1419,2024,45.576300238465976
1419,2025,46.65266709502042
1423,2020,50.253261865419574
1423,2021,60.885312952658246
1423,2022,50.53641430439514
1423,2023,48.53013178113632
1423,2024,45.187467571026694
1423,2025,47.42961094861018
1432,2020,43.30223723553716
1432,2021,48.52334625897526
1432,2022,44.71101084389254
1432,2023,48.22243509872291
1432,2024,50.753014655430945
1432,2025,46.89730022413646
1434,2020,46.98901484577538
1434,2021,47.60267791199904
1434,2022,44.062512911378775
1434,2023,49.804992750715925
1434,2024,44.663923848336324
1434,2025,47.12731308364372
1435,2020,55.62984408625245
1435,2021,48.61082818669457
1435,2022,48.19998294742147
1435,2023,47.18366297860638
1435,2024,46.413163188908925
1435,2025,39.415671345059685
1436,2020,54.33261567558252
1436,2021,60.731772043166565
1436,2022,55.635574698319864
1436,2023,59.79237638415743
1436,2024,53.5175437739669
1436,2025,39.70469013753501
1437,2020,55.69663088766129
1437,2021,53.86832812382782
1437,2022,51.17818942393158
1437,2023,46.71877502043294
1437,2024,49.439916460946186
1437,2025,57.625841741900814
1438,2020,47.92589265937762
1438,2021,44.25009974558872
1438,2022,47.27602210774982
1438,2023,49.25030710513433
1438,2024,49.7191835932227
1438,2025,41.39180373848561
1439,2020,46.931444448785356
1439,2021,37.43943932252224
1439,2022,41.223787711571916
1439,2023,46.64670270026199
1439,2024,46.270572970515424
1439,2025,44.582709058381546
1440,2020,46.978935948934236
1440,2021,45.00924782652489
1440,2022,45.197719233630636
1440,2023,46.05079309979351
1440,2024,43.226482884195526
1440,2025,45.77978101739062
1441,2020,45.41905206581572
1441,2021,42.19726974381456
1441,2022,45.74168974528488
1441,2023,49.216867736796985
1441,2024,45.875624146970246
1441,2025,40.82665928136468
1442,2020,49.61364137499441
1442,2021,48.690250292499506
1442,2022,54.493514461078576
1442,2023,47.93529329125136
1442,2024,54.847360919467654
1442,2025,38.34892737405381
1443,2020,61.44860673731082
1443,2021,57.48254447185914
1443,2022,47.19988036389383
1443,2023,43.83863512566374
1443,2024,44.33375699500582
1443,2025,38.26541480509816
1444,2020,42.75295758159487
1444,2021,40.48092940850625
1444,2022,43.74990786151592
1444,2023,42.867538119470474
1444,2024,38.76285722027957
1444,2025,39.27958777860798
1445,2020,55.91827621481034
1445,2021,51.89212138083436
1445,2022,51.70020975463209
1445,2023,46.31831076307101
1445,2024,42.75876597079237
1445,2025,44.72411975379472
1446,2020,45.47814102444064
1446,2021,41.689701806586406
1446,2022,46.949247138478995
1446,2023,46.879907146409906
1446,2024,45.96006498683001
1446,2025,37.88899039869364
1447,2020,46.4103682186659
1447,2021,44.294595456133116
1447,2022,43.52839572031614
1447,2023,46.79809351944488
1447,2024,38.4303154856124
1447,2025,44.04259135452013
1449,2020,48.694715391098384
1449,2021,37.482004209560536
1449,2022,35.35810659186262
1449,2023,40.5923531133646
1449,2024,40.23702270719732
1449,2025,34.071581038670445
1451,2020,50.04426759440166
1451,2021,48.735246879408045
1451,2022,46.52973802043478
1451,2023,50.895428135281584
1451,2024,46.245281256657414
1451,2025,47.41124005469793
1452,2020,52.7015767379636
1452,2021,47.850009786857186
1452,2022,50.85116076479636
1452,2023,52.0914729297536
1452,2024,43.1192326937153
1452,2025,44.20408764793252
1453,2020,54.60018200244203
1453,2021,50.66566745545206
1453,2022,44.76044147049366
1453,2023,36.53317885569556
1453,2024,35.47619963630086
1453,2025,35.25798246121406
1454,2020,50.76226196020255
1454,2021,48.652534196656724
1454,2022,42.26310058867626
1454,2023,45.87446707432332
1454,2024,40.14021019323259
1454,2025,46.36034995095929
1455,2020,47.443470342594175
1455,2021,41.91677570357706
1455,2022,44.35724739367623
1455,2023,46.336031229407695
1455,2024,39.60149274517438
1455,2025,43.65555429390156
1456,2020,47.70270445011883
1456,2021,45.48746414105399
1456,2022,45.02777503692099
1456,2023,45.14041014867076
1456,2024,44.86203240548432
1456,2025,48.91104610297444
1457,2020,54.450861256840724
1457,2021,51.510280257594374
1457,2022,54.80514890172566
1457,2023,56.91428293386266
1457,2024,45.727090167091816
1457,2025,44.21442937404249
1459,2020,51.64372060448765
1459,2021,43.86318875458474
1459,2022,37.34908100926668
1459,2023,50.507290427469535
1459,2024,47.828528012232994
1459,2025,50.7095669391138
1460,2020,38.92700715849428
1460,2021,40.04892353826533
1460,2022,40.72315059940101
1460,2023,45.77100832388973
1460,2024,42.44974089462173
1460,2025,54.834291787197195
1463,2020,50.618334749570046
1463,2021,42.62579375301836
1463,2022,52.79974462746143
1463,2023,47.84838917338204
1463,2024,49.373735066424636
1463,2025,44.95547126412528
1464,2020,47.224224254795395
1464,2021,44.14217011244755
1464,2022,43.284908824238144
1464,2023,45.52958761190113
1464,2024,46.1512242308681
1464,2025,40.408483943334566
1465,2020,48.61276161527212
1465,2021,43.68834000098702
1465,2022,48.13929754664365
1465,2023,50.019486145104466
1465,2024,49.47976096378866
1465,2025,47.3787501576419
1466,2020,50.36697541788713
1466,2021,39.69845720607583
1466,2022,53.70139040630144
1466,2023,46.191485105489505
1466,2024,36.02970849971009
1466,2025,43.05504751283274
1467,2020,44.973582372011585
1467,2021,38.622826041582385
1467,2022,40.69177295444482
1467,2023,41.204479892974916
1467,2024,44.506039440423216
1467,2025,40.11017474374956
1468,2020,70.79821589453049
1468,2021,55.281564214370235
1468,2022,64.0164533228151
1468,2023,60.80971015788543
1468,2024,58.4476997400269
1468,2025,53.42458130718684
1470,2020,40.47773922119924
1470,2021,38.20575334673242
1470,2022,42.34609187655809
1470,2023,41.67037008590898
1470,2024,44.986787782404804
1470,2025,46.45715735623451
1471,2020,52.534738465620954
1471,2021,44.00947837363451
