coid,year,K_avg,D_avg,K_minus_D_avg
1314,2020,49.61668867449957,49.53162875492089,0.08505991957868275
1314,2021,45.341697378316866,45.3134541739409,0.02824320437596839
1314,2022,43.88080966258172,44.15259807874678,-0.2717884161650588
1314,2023,38.665063046451564,38.655055731649256,0.010007314802308542
1314,2024,40.208396825188004,40.193430350344805,0.014966474843198796
1314,2025,43.34609515064063,43.31070473649836,0.03539041414227029
1315,2020,45.32693859618937,45.401451532322234,-0.07451293613286225
1315,2021,46.12679246760809,46.29731640281769,-0.17052393520960152
1315,2022,46.944745200095014,46.92885085360661,0.015894346488401823
1315,2023,53.07052458392005,52.65726499162451,0.4132595922955389
1315,2024,46.61595042314069,47.03974733864257,-0.4237969155018817
1315,2025,49.93912609757723,49.90294716309396,0.036178934483267255
1316,2020,45.77194308774504,45.88950597308046,-0.11756288533541692
1316,2021,49.79765206359518,49.72008047366862,0.07757158992656343
1316,2022,40.88520843390542,41.02046924464691,-0.13526081074149232
1316,2023,46.7996992702181,46.75021529109593,0.04948397912217217
1316,2024,37.748885229650284,37.61211909544142,0.1367661342088624
1316,2025,39.525224128740525,39.700457968548115,-0.17523383980758922
1319,2020,48.98255885526161,48.90592996923913,0.0766288860224762
1319,2021,43.0487084345932,43.07338830929951,-0.02467987470630817
1319,2022,50.657670843448855,50.67940271953971,-0.02173187609085403
1319,2023,50.61988738354362,50.860293770946846,-0.24040638740322606
1319,2024,47.4724222178719,47.37029419270496,0.10212802516694097
1319,2025,42.30982922485137,42.13796838056032,0.17186084429105364
1321,2020,46.12184369222781,46.43943595332445,-0.3175922610966353
1321,2021,45.609026488218625,45.45737584941524,0.1516506388033818
1321,2022,43.01427562886822,43.30984613840652,-0.295570509538301
1321,2023,50.3335445892679,50.35723469088442,-0.0236901016165163
1321,2024,33.402070977863694,33.294455757872996,0.10761521999069856
1321,2025,49.3467896441226,49.22360131161381,0.12318833250878924
1323,2020,64.5514915527008,64.52450703748674,0.026984515214053317
