coid,year_q,RSI
1609 大亞,2021Q4,55.629920098490196
1609 大亞,2022Q1,69.48468182289285
1609 大亞,2022Q2,56.64423753257544
1609 大亞,2022Q3,25.752247165382368
1609 大亞,2022Q4,49.71079115711505
1609 大亞,2023Q1,55.074513135627626
1609 大亞,2023Q2,63.844249632116245
1609 大亞,2023Q3,79.79806217482323
1609 大亞,2023Q4,53.85675806430944
1609 大亞,2024Q1,64.9386312259095
1609 大亞,2024Q2,62.44197399828134
1609 大亞,2024Q3,51.75012646080729
1609 大亞,2024Q4,60.041699540597406
1609 大亞,2025Q1,35.36139462528046
1609 大亞,2025Q2,50.184923795823565
1609 大亞,2025Q3,48.966031757696875
1609 大亞,2025Q4,45.30796822596279
1611 中電,2020Q1,37.45983245141772
1611 中電,2020Q2,35.96341753456554
1611 中電,2020Q3,32.824105554823866
1611 中電,2020Q4,76.22759665311976
1611 中電,2021Q1,46.39620400945697
1611 中電,2021Q2,54.643977580289274
1611 中電,2021Q3,62.47973008673863
1611 中電,2021Q4,66.48913214414316
1611 中電,2022Q1,55.010042424221595
1611 中電,2022Q2,52.3543864594935
1611 中電,2022Q3,38.35080400496867
1611 中電,2022Q4,35.08217361395139
1611 中電,2023Q1,69.73689511397998
1611 中電,2023Q2,51.49523549625354
1611 中電,2023Q3,54.77190478436991
1611 中電,2023Q4,38.01581479429807
1611 中電,2024Q1,53.53508644156487
1611 中電,2024Q2,67.31471736352468
1611 中電,2024Q3,48.61463167575524
1611 中電,2024Q4,33.898993218282044
1611 中電,2025Q1,29.960140341251147
1611 中電,2025Q2,37.57683504754025
1611 中電,2025Q3,50.2964006552738
1611 中電,2025Q4,56.80206311721435
1612 宏泰,2020Q1,46.01240363750464
1612 宏泰,2020Q2,62.09640957784748
1612 宏泰,2020Q3,35.62653897627204
1612 宏泰,2020Q4,46.667702676275354
1612 宏泰,2021Q1,78.80253521879335
1612 宏泰,2021Q2,56.95763004534562
1612 宏泰,2021Q3,75.1159232292575
1612 宏泰,2021Q4,53.23355259444188
1612 宏泰,2022Q1,72.17062007042824
1612 宏泰,2022Q2,30.91405536832812
1612 宏泰,2022Q3,42.335197163632174
1612 宏泰,2022Q4,44.64393400181345
1612 宏泰,2023Q1,62.78985536790276
1612 宏泰,2023Q2,59.67518398109316
1612 宏泰,2023Q3,70.78905514930878
1612 宏泰,2023Q4,62.65243901618056
1612 宏泰,2024Q1,70.72920928290571
1612 宏泰,2024Q2,51.197845287391885
1612 宏泰,2024Q3,53.80163972926895
1612 宏泰,2024Q4,42.10952445859248
1612 宏泰,2025Q1,37.20342709869262
1612 宏泰,2025Q2,61.21485578841145
1612 宏泰,2025Q3,62.916824846557894
1612 宏泰,2025Q4,42.992619266897044
1614 三洋電,2020Q1,38.69826688802163
1614 三洋電,2020Q2,65.89750256021227
1614 三洋電,2020Q3,27.31686912250674
1614 三洋電,2020Q4,60.94456857732631
1614 三洋電,2021Q1,56.39349330919813
1614 三洋電,2021Q2,55.23859755778406
1614 三洋電,2021Q3,61.63415998281688
1614 三洋電,2021Q4,61.12687749836701
1614 三洋電,2022Q1,53.93347482169658
1614 三洋電,2022Q2,63.82647706738776
1614 三洋電,2022Q3,39.01323092942012
1614 三洋電,2022Q4,43.421955519469414
1614 三洋電,2023Q1,50.31893817726038
1614 三洋電,2023Q2,61.599821383120265
1614 三洋電,2023Q3,28.568402805901567
1614 三洋電,2023Q4,53.2549853512052
1614 三洋電,2024Q1,73.91342496885615
1614 三洋電,2024Q2,56.226387980026956
1614 三洋電,2024Q3,55.16235184112315
1614 三洋電,2024Q4,49.03147216660435
1614 三洋電,2025Q1,41.65178474395408
1614 三洋電,2025Q2,43.286233447491476
1614 三洋電,2025Q3,49.05251797683346
1614 三洋電,2025Q4,50.42410793252545
1615 大山,2020Q1,47.43004968658065
1615 大山,2020Q2,58.31248897956867
1615 大山,2020Q3,42.29952422634601
1615 大山,2020Q4,67.57873656510375
1615 大山,2021Q1,79.03988265008815
1615 大山,2021Q2,51.50309671459866
1615 大山,2021Q3,30.184126171604287
1615 大山,2021Q4,60.06103754334894
1615 大山,2022Q1,50.98768243069384
1615 大山,2022Q2,38.347239648087935
1615 大山,2022Q3,33.624310729550615
1615 大山,2022Q4,64.17787787941344
1615 大山,2023Q1,79.31326042874164
1615 大山,2023Q2,59.29703935430833
1615 大山,2023Q3,84.05828560357384
1615 大山,2023Q4,69.57409498408508
1615 大山,2024Q1,62.79506757382439
1615 大山,2024Q2,52.7834986308522
1615 大山,2024Q3,42.413711019027694
1615 大山,2024Q4,29.34203110866787
1615 大山,2025Q1,29.840634581050622
1615 大山,2025Q2,45.08470631947243
1615 大山,2025Q3,41.067772544273176
1615 大山,2025Q4,58.295371752826476
1616 億泰,2020Q1,31.035787399731152
1616 億泰,2020Q2,56.729698636679046
1616 億泰,2020Q3,47.55859154766009
1616 億泰,2020Q4,54.53810642498067
1616 億泰,2021Q1,51.47811614477933
1616 億泰,2021Q2,71.446320679429
1616 億泰,2021Q3,44.24085799364402
1616 億泰,2021Q4,60.47042967825851
1616 億泰,2022Q1,48.59327326186312
1616 億泰,2022Q2,34.24555066428698
1616 億泰,2022Q3,37.537530054880975
1616 億泰,2022Q4,35.99428190656225
1616 億泰,2023Q1,57.219260400793694
1616 億泰,2023Q2,52.050970762995654
1616 億泰,2023Q3,57.17245047234656
1616 億泰,2023Q4,50.53214041959243
1616 億泰,2024Q1,66.28493830085421
1616 億泰,2024Q2,46.82795719990507
1616 億泰,2024Q3,85.57048172101706
1616 億泰,2024Q4,46.6437146737967
1616 億泰,2025Q1,65.14910050951768
1616 億泰,2025Q2,63.60427955280444
1616 億泰,2025Q3,44.870530241349165
1616 億泰,2025Q4,45.509695914526475
1617 榮星,2020Q1,42.288293845201466
1617 榮星,2020Q2,51.85672380448978
1617 榮星,2020Q3,41.179486744347486
1617 榮星,2020Q4,69.38680388730543
1617 榮星,2021Q1,51.33792649452551
1617 榮星,2021Q2,59.73589649041956
1617 榮星,2021Q3,48.78558427415764
1617 榮星,2021Q4,50.056566368957824
1617 榮星,2022Q1,51.14214439399024
1617 榮星,2022Q2,50.82487485345926
