coid,year,RSI
1301,2021,49.6593215006979
1301,2022,49.0293464264532
1301,2023,44.028955820125475
1301,2024,23.29253785022244
1301,2025,40.74471734154809
1303,2020,70.53765382765688
1303,2021,55.661257659208374
1303,2022,42.35537758395903
1303,2023,48.535466664677955
1303,2024,11.772169692824566
1303,2025,56.58536548072909
1304,2020,80.0898104503314
1304,2021,53.980658611825994
1304,2022,60.15919858712383
1304,2023,44.84623459852687
1304,2024,26.224783790758188
1304,2025,48.35347828314669
1305,2020,73.24981844685414
1305,2021,60.74228029045429
1305,2022,59.81695864471158
1305,2023,37.47216995446907
1305,2024,26.689380547434478
1305,2025,44.10578415327723
1307,2020,57.72428761703499
1307,2021,59.392641925651304
1307,2022,33.202825410799704
1307,2023,36.938097951391406
1307,2024,34.10909301162891
1307,2025,45.12590352460082
1308,2020,81.92036391848264
1308,2021,47.199337677194144
1308,2022,51.40736145913161
1308,2023,34.874627682549054
1308,2024,23.442813771955176
1308,2025,47.129304011377116
1309,2020,85.21977316332566
1309,2021,74.22080679608995
1309,2022,59.24212608110294
1309,2023,39.44289254034499
1309,2024,11.58269019457298
1309,2025,46.281390338811136
1310,2020,57.54612026550105
1310,2021,62.53043315960419
1310,2022,48.49742275243279
1310,2023,37.37282298518057
1310,2024,10.192470267146545
1310,2025,53.79233115277346
1312,2020,77.16450152787051
1312,2021,62.229355430285096
1312,2022,51.389301047961524
1312,2023,49.962896816167216
1312,2024,31.46172283989906
1312,2025,56.90510526986363
1313,2020,71.51734252581862
1313,2021,65.7051766729172
1313,2022,46.437344117878915
1313,2023,37.296192668162746
1313,2024,26.48010236449893
1313,2025,39.780288376649345
1314,2020,82.14134107978882
1314,2021,78.59653123290856
1314,2022,44.8116123959574
1314,2023,48.5760621800521
1314,2024,28.938767936691956
1314,2025,43.73454419974566
1315,2020,74.23018201941326
1315,2021,34.80186166407311
1315,2022,47.61722604492375
1315,2023,78.95889492835494
1315,2024,48.89224356422647
1315,2025,51.379246392195085
1316,2020,54.67074656016322
1316,2021,68.86580395482443
1316,2022,39.7764436300518
1316,2023,51.937857068093706
1316,2024,73.88205728126844
1316,2025,48.36411161260191
1319,2020,64.5343568265647
1319,2021,61.03395815230957
1319,2022,48.18798013773691
1319,2023,34.722288452769625
1319,2024,44.69499169443411
1319,2025,55.540169282321614
1321,2020,63.84901162381929
1321,2021,61.460519895288066
1321,2022,37.80963356190586
1321,2023,30.876353350190218
1321,2024,41.071228061832635
1321,2025,44.22721821321244
1323,2020,61.30593979789387
1323,2021,54.74354052283357
1323,2022,46.77618833044322
1323,2023,76.16163346162946
1323,2024,20.025319902370033
1323,2025,35.611425616607534
1324,2020,63.53990446828763
1324,2021,55.79439614888756
1324,2022,75.1950760563651
1324,2023,39.57319245952511
1324,2024,54.48567781212531
1324,2025,38.79093485740265
1325,2020,43.52424577436961
1325,2021,58.546416928079815
1325,2022,55.526164045966794
1325,2023,52.978523930863474
1325,2024,61.613685834206464
1325,2025,35.502218631206375
1326,2020,80.04201038007567
1326,2021,63.459751516330186
1326,2022,49.915171316918446
1326,2023,44.3946980998521
1326,2024,16.405150818805268
1326,2025,48.38552480563062
1336,2020,62.100365701805735
1337,2020,59.21438544408842
1337,2021,67.0839021876626
1337,2022,51.02217636254942
1337,2023,61.71128866443999
1337,2024,23.14555681155899
1337,2025,35.186985418949014
1338,2020,77.79339383849455
1338,2021,70.27730865887345
1338,2022,22.56402616330192
1338,2023,47.259806435351074
1338,2024,32.01235540710499
1338,2025,50.789500568134216
1339,2020,55.5801844194775
1339,2021,45.88645613888906
1339,2022,56.207109239337036
1339,2023,29.89876961000897
1339,2024,43.9002122201178
1339,2025,43.114734028892364
1340,2020,63.00542027361804
1340,2021,70.80123004139712
1340,2022,29.407621562964582
1340,2023,51.79004290708797
1340,2024,11.434104871993267
1340,2025,51.15318196482037
1341,2020,45.27247102992348
1341,2021,63.462902414463564
1341,2022,31.39314248717195
1341,2023,70.91658429990856
1341,2024,38.96080553006413
1341,2025,61.169966994755285
1342,2020,49.90223396255553
1342,2021,84.54053616437298
1342,2022,56.407174084173015
1342,2023,50.67929215833825
1342,2024,33.46022001319968
1342,2025,61.139023770199884
1402,2020,72.72378908481284
1402,2021,78.83208035529563
1402,2022,48.553694362411484
1402,2023,50.96429561371919
1402,2024,35.04082017358019
1402,2025,45.93635332697574
1409,2020,65.81231926219253
1409,2021,70.02319790475674
1409,2022,42.13827358756804
1409,2023,53.40401590453241
1409,2024,22.27779743939618
1409,2025,46.44099850910457
1410,2020,57.01833866612864
1410,2021,34.05965052661827
1410,2022,43.29524393084173
1410,2023,78.79061621706191
1410,2024,24.978702675300614
1410,2025,50.15998427496808
1413,2020,62.34522999376383
1413,2021,70.17689494772671
1413,2022,50.08988077402049
1413,2023,65.06532586054074
1413,2024,55.500001719124135
1413,2025,45.58298738330505
1414,2020,50.21798793629031
1414,2021,48.38693679837502
1414,2022,29.01902857003982
1414,2023,56.53139670784386
1414,2024,60.45870022063734
1414,2025,53.55768988650046
1416,2020,55.31026777270952
1416,2021,71.0677784025177
1416,2022,16.2678666755934
1416,2023,59.19651764085339
1416,2024,45.17746256465271
1416,2025,58.722032586898756
1417,2020,56.276137442564774
1417,2021,70.76404400235161
1417,2022,46.73800608779642
1417,2023,43.83366945945188
1417,2024,21.198007285152574
1417,2025,54.74677800460709
1418,2020,45.623008869528256
1418,2021,58.661543414057995
1418,2022,42.455285610355794
1418,2023,38.025384704408864
1418,2024,46.52808517680239
1418,2025,51.00723615763224
1419,2020,47.32916662925616
1419,2021,48.57062392651644
1419,2022,52.341755466999054
1419,2023,70.47050721140874
1419,2024,38.24520661374336
1419,2025,42.4613974171212
1423,2020,76.64506713601764
1423,2021,67.25766100018522
1423,2022,56.696909845172485
1423,2023,56.752644678076955
1423,2024,46.39327659066174
1423,2025,42.79609348152665
1432,2020,34.62841902123719
1432,2021,23.69706899690828
1432,2022,55.29988145395951
1432,2023,57.34230251913501
1432,2024,77.68870415603784
1432,2025,54.66617580361902
1434,2020,69.765314924988
1434,2021,59.380308936402116
1434,2022,66.62983334922498
1434,2023,43.03846744798201
1434,2024,22.798931772353207
1434,2025,49.82168640717361
1435,2020,47.24576006299337
1435,2021,62.756492733334426
1435,2022,23.28924844502658
1435,2023,76.5115769341865
1435,2024,51.71881777694844
1435,2025,34.7164123345627
1436,2020,46.63794203170536
1436,2021,51.6058112524599
1436,2022,54.454385025477535
1436,2023,89.9037700733482
1436,2024,50.83062752008984
1436,2025,56.044943162928874
1437,2020,83.01347040736256
1437,2021,67.67206394460112
1437,2022,54.00739823863548
1437,2023,89.29658832625098
1437,2024,47.35760297374284
1437,2025,73.78369878591751
1438,2020,34.268658015823846
1438,2021,44.338919850388486
1438,2022,47.72618925074828
1438,2023,80.38272034258625
1438,2024,51.70023063108761
1438,2025,43.60545527989122
1439,2020,57.13685645403914
1439,2021,43.5484624962783
1439,2022,33.17352827436453
1439,2023,54.78478363072258
1439,2024,66.87605969175877
1439,2025,61.044553159806966
1440,2020,48.05885889716109
1440,2021,53.33610365584853
1440,2022,37.37803233829837
1440,2023,45.04323117836762
1440,2024,18.717903730577063
1440,2025,40.8159703623908
1441,2020,56.515638257563175
1441,2021,53.815074614701416
1441,2022,48.55327993220573
1441,2023,44.077205045552724
1441,2024,53.36574259816839
1441,2025,36.136590967801126
1442,2020,57.63290802452704
1442,2021,57.58134073109272
1442,2022,31.235456375281068
1442,2023,61.39457006555015
1442,2024,61.76450423919996
1442,2025,36.35716247492134
1443,2020,74.55398389999597
1443,2021,51.550233305770064
1443,2022,52.069746665590365
1443,2023,65.3429674607768
1443,2024,34.697658441211985
1443,2025,49.56386576603355
1444,2020,60.11706853888005
1444,2021,64.9004757677934
1444,2022,37.01961925501513
1444,2023,36.6649342892704
1444,2024,20.778218818145625
1444,2025,40.85243349337099
1445,2020,55.58348326463225
1445,2021,54.702610913134244
1445,2022,66.90221225716468
1445,2023,45.569192134843895
1445,2024,40.936260182879444
1445,2025,36.89925094783757
1446,2020,73.99258416507222
1446,2021,69.91208270258507
1446,2022,60.842217316210466
1446,2023,33.25286877952269
1446,2024,35.73946682010563
1446,2025,53.154210438762604
1447,2020,63.12149291852022
1447,2021,55.80779669867412
1447,2022,38.11942974917249
1447,2023,32.822849183536
1447,2024,26.369637238238596
1447,2025,39.340723350480346
1449,2020,48.31929850974615
1449,2021,66.91665482187284
1449,2022,48.24008265403657
1449,2023,33.42263733154594
1449,2024,50.848395126284714
1449,2025,56.33139675217643
1451,2020,58.0388887552852
1451,2021,53.76875705488724
1451,2022,39.90531803780388
1451,2023,42.120758283786834
1451,2024,19.03712687834148
1451,2025,47.888857409821256
1452,2020,51.12226474081562
1452,2021,61.57617668321635
1452,2022,49.75687548597214
1452,2023,72.0670154702327
1452,2024,22.155224177653306
1452,2025,42.83392162015605
1453,2020,51.91530854716573
1453,2021,41.43382003182649
1453,2022,25.723490141130075
1453,2023,52.80907271753361
1453,2024,40.0508226306713
1453,2025,49.23555728410686
1454,2020,69.92213301979653
1454,2021,68.3297370520208
1454,2022,71.97282359269246
1454,2023,37.18633864413279
1454,2024,26.982115125995172
1454,2025,44.11043825276222
1455,2020,60.04970329159267
1455,2021,43.98451148919285
1455,2022,43.15766574775509
1455,2023,33.717160932358716
1455,2024,47.09047657363164
1455,2025,39.07017938326476
1456,2020,56.58371974372497
1456,2021,46.48250296338238
1456,2022,42.59466277603921
1456,2023,62.65587419959182
1456,2024,36.798452074956735
1456,2025,58.01866136917646
1457,2020,74.7544271657875
1457,2021,75.81057674553097
1457,2022,49.08163508067278
1457,2023,35.91843128600314
1457,2024,50.74495138804102
1457,2025,43.7266543072855
1459,2020,60.70210150706158
1459,2021,45.5991398180261
1459,2022,38.108249845642376
1459,2023,57.90131644620207
1459,2024,78.46094997365951
1459,2025,70.9184655933995
1460,2020,59.69261226595527
1460,2021,69.27821424367492
1460,2022,37.91807031399237
1460,2023,32.5303470551857
1460,2024,80.20653365185908
1460,2025,71.27005285564186
1463,2020,85.10623289338012
1463,2021,34.70970929779128
1463,2022,42.68019652318865
1463,2023,64.40141823246437
1463,2024,47.38810873325026
1463,2025,33.17112449060012
1464,2020,60.658132151979
1464,2021,54.09974735326816
1464,2022,44.45410194289547
1464,2023,58.295619167414316
1464,2024,50.31183271849798
1464,2025,44.18124063243464
1465,2020,88.21452900786531
1465,2021,53.77779512010418
1465,2022,44.52706526446442
1465,2023,43.85595968658069
1465,2024,43.963172203725456
1465,2025,38.01503946750469
1466,2020,60.825041745037055
1466,2021,51.509271668066006
1466,2022,53.04804616407438
1466,2023,44.9519787721781
1466,2024,24.316004249669646
1466,2025,45.217329662310384
1467,2020,53.77086960139762
1467,2021,75.09517413506566
1467,2022,33.19858909631948
1467,2023,64.01477275222683
