coid,year,RET,ROA,EPS,ROE,OM,FCF,total_assets,LEV,BIAS,PPO,K,RSI
2208,2022,-11.1614,-7.57,-3.78,-30.75,-17.09,-29.31171641376504,46638124.0,78.96,2.224403009486432,-0.2174762060095922,40.28653994064052,48.32261797669023
2208,2023,7.5305,-9.0,-4.32,-49.15,-13.2,-15.928446689170588,39298545.0,83.02,10.674953658270647,0.1510948193657098,43.17936839966752,40.529315080148415
2208,2024,-25.862,-7.17,-2.2,-35.5,-25.65,-1.1755938558974073,34017258.0,73.34,-17.947879184385553,-0.5286662413944652,31.89589716658188,18.45072559473839
2208,2025,32.8896,-5.28,-1.77,-28.04,-13.59,-104.09007138661433,46417525.0,84.62,9.03936321011886,0.6589630404756673,41.99775713184975,46.052761076858005
2211,2020,38.5886,6.72,2.65,8.88,16.41,-0.778910312652161,24053202.0,30.16,-61.57767747663018,0.3928806603104194,53.08211787528955,53.33320996716998
2211,2021,39.5319,5.53,3.11,7.45,12.89,-1.84568952089094,34486987.0,23.79,-52.43630706214814,0.3298848933841189,43.67802113853711,55.57548357500135
2211,2022,-1.5898,9.34,6.22,12.11,20.89,18.337210806619726,31790545.0,22.14,-53.19442552200301,-0.0130971414675295,47.50414193167562,41.49497146578226
2211,2023,119.0765,12.86,8.8,16.41,30.07,-16.07278768111677,35941507.0,22.59,2.33500485635304,1.3246356796786296,58.59761653154674,73.39448577039748
2211,2024,-9.9085,7.7,6.12,9.74,22.17,22.29126229371175,40689416.0,21.87,-7.971011308050986,0.233733007803637,46.64922460434288,17.629562107458902
2211,2025,15.3738,10.28,8.6,12.99,23.43,3.554685337582161,39451866.0,21.54,6.136584379683305,0.2033360776728565,55.4845994838969,27.51449435808525
2221,2020,-7.816,5.29,1.5,8.73,9.44,4.893126274357197,1391314.0,40.61,-29.79467570359362,-0.4764699714384772,,61.99326789243141
2221,2021,62.6721,12.64,4.27,21.77,15.11,5.483141121917507,1764457.0,44.79,14.20597669487687,,,
2221,2022,0.5409,16.39,6.34,27.16,19.83,-6.94963845971132,1773316.0,36.08,14.387198492234646,,,
2221,2023,6.0179,6.25,2.05,9.45,9.14,-1.6058641481880938,1661042.0,36.87,20.8749388376434,,,
2221,2024,-17.6368,5.93,2.02,8.92,8.19,17.72964218836986,1625149.0,36.3,-0.4367445316322641,,,
2221,2025,9.1541,6.21,2.31,9.1,10.01,4.63611423015037,1728867.0,32.81,8.733078414671722,,,
2227,2020,-2.1692,23.26,21.8,30.25,1.01,53.498132108324015,27764630.0,21.93,242.75781801918103,-0.0070407411208652,49.57296092153695,46.56246786529004
2227,2021,2.9772,11.59,10.09,14.88,0.5,-31.102074195702105,24653475.0,22.93,253.19370255357288,0.0359149682717967,50.22722128697773,59.29082994432865
2227,2022,-20.8527,9.84,8.04,12.61,0.48,2.5438287469365206,24510866.0,21.58,179.97309710285617,-0.3831382294257412,46.509124506883104,37.48773577551483
2227,2023,4.7175,4.95,3.87,6.28,0.45,0.2965773525140447,22605589.0,21.56,193.25513196480932,0.0068475452459593,53.62073930374192,62.03904319401418
2227,2024,-59.1595,7.17,5.57,9.03,0.26,11.84957874638395,24152795.0,20.22,19.775492951542606,-1.61508104795359,34.34573024771767,31.306276523454876
2227,2025,-21.4745,1.68,1.3,2.09,-4.05,11.156331640800046,22844322.0,20.81,-5.975390964489188,-0.9130905012444196,41.98660047910266,49.77600657479913
2228,2020,-28.2574,1.94,1.31,2.59,4.05,-9.607390877666724,5494037.0,32.99,-32.10445072769,-0.5894069168649628,43.8209525959622,37.93907534185421
2228,2021,-11.1584,4.47,3.15,6.38,4.08,-4.68128557080683,5423292.0,30.01,-39.67225503393166,-0.3437435584120578,44.566469766798775,82.67293690363485
2228,2022,6.0053,7.96,5.97,11.37,10.3,2.255344682361492,6112627.0,31.88,-36.01179933403322,0.257315675887255,46.82223809856807,18.11804244344508
2228,2023,31.2145,8.52,6.78,12.05,11.46,2.5164101636733385,6135364.0,28.88,-16.131553128133124,0.3968288452299263,48.56274781938585,53.3364197244833
2228,2024,14.3238,11.43,9.52,15.21,10.46,22.564668983039383,6846349.0,23.35,-3.958659392986949,0.2703724935876616,43.733345544435856,35.60222745694535
2228,2025,18.4439,6.28,5.25,8.14,9.16,-9.338912218363886,6734972.0,25.34,13.248702738793751,0.3069055268280147,45.14727864357049,50.365842102933975
2230,2020,14.1181,-1.55,-0.48,-3.77,-4.97,2.206485325060868,926353.0,46.94,-89.25333840671743,0.060157398821822,,56.05106369839521
2230,2021,1.0171,-0.32,-0.08,-1.64,-0.06,-2.2468886157158545,1033039.0,54.31,-89.14021565310394,,,
2230,2022,118.622,11.04,3.17,20.31,30.1,-17.28618715333691,1004695.0,41.16,-76.26478951454914,,,
2230,2023,485.9825,10.65,2.66,16.92,19.63,-73.49706856885916,1461444.0,38.43,39.04843196437662,,,
2230,2024,-31.8344,20.04,6.1,28.65,17.01,-2.0872812986209146,1826869.0,25.96,-5.2134163585785664,,,
2230,2025,-0.3238,-3.36,-1.05,-5.71,-2.35,-10.513531544355136,2073679.0,41.73,-5.491081299266246,,,
2231,2020,-13.5841,3.66,2.03,6.18,11.57,-3.0381189115036973,7527861.0,52.59,73.7588384234079,-0.4380812342289355,46.23044409043711,61.6026712045547
2231,2021,-5.8943,6.01,4.23,11.85,14.52,-7.323604915127073,9566181.0,51.28,63.49259695924734,-0.1705046010454624,46.39935682985128,61.42005312433918
2231,2022,-18.8822,5.19,4.7,9.53,11.44,16.602606192664876,9723069.0,46.86,32.607420007067496,-0.274641855203316,43.35529519314355,30.844943695929683
2231,2023,3.9004,3.8,3.2,6.4,10.4,-1.0984088688146705,10253819.0,48.78,37.78376701899687,-0.0468965238184199,42.36771523422557,53.29826222572063
2231,2024,-18.9476,5.24,3.37,9.56,6.7,55.26315074983268,11815398.0,52.47,11.696707130066798,-0.4359565351809906,40.38699290615032,52.4238826805724
2231,2025,-10.0872,-3.38,-1.63,-9.05,-2.69,-94.62728703643016,10933138.0,59.34,0.3930349495279243,-0.3246623818965544,41.03882926047265,42.79692353176562
2233,2020,20.7646,9.02,6.23,13.04,15.95,-8.113734077496195,4281814.0,33.69,-65.85725767806026,0.2834846959633891,51.2059511237829,73.06682856901894
2233,2021,27.9818,11.68,9.01,17.73,20.08,-8.274449154542893,4926826.0,36.3,-56.34921641062568,0.3613176283464725,46.705190138558855,82.35955577112402
2233,2022,2.2277,12.5,10.32,18.63,16.26,24.102041092004484,4982881.0,30.8,-55.32488343141407,0.1303604974254323,51.599989298098286,62.59625451167903
2233,2023,45.5248,10.49,8.86,15.07,15.93,12.70525116927115,5167083.0,30.65,-35.000494418145905,0.7141628456834158,48.50771478961602,51.98433695546682
2233,2024,111.8206,11.84,10.96,17.23,18.82,-4.102425166967007,6087164.0,33.38,37.651082775739525,0.9167217807810548,47.628090893547096,90.8086093721494
2233,2025,-19.3859,6.6,6.7,9.97,12.64,7.591794954818982,6624571.0,40.15,11.053922003635869,-0.3841545768018768,41.20721811512813,69.28700144709505
2235,2020,-20.8153,4.31,2.01,5.61,10.65,1.9767287486249667,1671569.0,24.23,-18.005408575040878,-0.6893035581376739,,49.63806041090418
2235,2021,-6.8754,2.84,1.42,4.07,10.13,3.808544256625824,2134419.0,41.68,-23.62181541072757,,,
