coid,year_q,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1535,2024Q4,-0.4886,7.19,4.06,13.56,4.42,1.9657948089349948,6.42618624490703,-0.3352904998981247,53.74722934720847,26.567264159831005,15.783661535955485,47.71
1535,2025Q1,-5.4278,1.55,0.88,2.87,4.13,-4.460646392682158,0.1593360446802536,-0.7903065966135526,46.908656232569726,25.746478317756328,15.76108393603289,44.65
1535,2025Q2,1.4084,3.21,1.87,6.42,3.9,13.82396843422744,0.3247367831026676,0.4098393636746131,53.740375643072994,57.32275436256439,15.80103227784399,52.37
1535,2025Q3,-2.1352,4.9,2.79,9.36,3.58,-8.386122065960992,1.0782290359158522,-0.2507685902286843,48.719965732503056,43.17959090982503,15.75623399353227,47.91
1535,2025Q4,-2.9196,6.88,4.0,13.09,4.15,-0.9999252009804998,-2.2297857325322976,-0.7824212092814194,36.98394809588331,45.55442998547127,15.798576102057748,47.39
1536,2020Q1,-26.910862,0.93,0.56,2.16,11.53,-54.00711017222496,13.817792914187777,-8.570570697915976,34.91426382361406,29.80125351427372,16.677492272021293,61.69
1536,2020Q2,11.1327,0.9,0.47,1.86,7.0,89.0319112821093,53.978776909304536,2.41743795065085,60.01403787812994,53.13871994944355,16.669385157130076,64.05
1536,2020Q3,-9.3781,1.26,0.64,2.51,7.0,35.060188752296675,44.37210630928718,-1.9822934128454768,40.57913961460618,42.75568800592618,16.699728866609703,65.08
1536,2020Q4,8.0013,2.1,1.12,4.38,7.61,9.253304772425572,62.42924644595696,-0.1350331395790242,46.05154311133481,48.43241782948341,16.725204163112394,65.09
1536,2021Q1,0.0002,0.41,0.2,0.72,5.64,-172.629783813927,80.29935405767064,0.1192647139738994,43.81463451914997,57.69260464932566,16.72604658799489,52.46
1536,2021Q2,14.4834,0.96,0.52,1.87,7.53,2.9629810809956263,67.08805661304501,3.880021953779723,46.535171551276285,61.21562351881686,16.751905746095996,53.21
1536,2021Q3,-5.0103,1.97,1.18,4.31,9.11,32.009435234012344,43.06287863459456,-1.3239252233115637,38.3996772428074,38.23449525733073,16.816837352958814,56.93
1536,2021Q4,-0.9762,2.09,1.23,4.5,6.75,-5.054101321404902,43.52195846857768,0.0323984435681845,48.32633158445231,57.21279201664121,16.864955100326686,58.57
1536,2022Q1,2.7745,0.23,0.1,0.32,-3.29,-44.4251435003808,28.117279594921552,-0.2172624599900053,35.280644001097855,60.14162416260648,16.86047927704174,58.18
1536,2022Q2,-17.1593,1.22,0.76,2.51,2.64,-4.537441259648026,-1.7909214412386316,-3.533160099129642,41.882713821648665,23.90953515403161,16.895547949891178,60.69
1536,2022Q3,4.2142,2.81,1.93,6.17,6.3,8.990171573945013,46.83753504734474,0.3544367535722429,59.29139171219228,51.93951691817381,16.92740820390711,60.29
1536,2022Q4,-10.6667,3.31,2.23,7.1,7.34,-25.67601628876156,7.526698892937489,-2.3625630675234315,40.322999597974565,20.64198518662746,16.94779576094936,60.85
1536,2023Q1,-0.6908,0.52,0.3,0.92,8.51,5.201591583144345,15.38206494109326,-0.0201074655222221,48.12599499971697,49.13939490218716,16.938103562166347,60.1
1536,2023Q2,-0.4154,1.62,1.07,3.35,9.7,30.549451042805416,15.38206494109326,-0.1917527431663273,49.04960512375472,50.69569285525526,16.93084918170377,60.78
1536,2023Q3,-2.5915,2.26,1.47,4.58,7.82,-30.81167803895876,4.874237629923846,-0.6774607724388119,38.15935190017479,27.613166825000885,16.936795957242634,60.59
1536,2023Q4,-6.8643,2.1,1.17,3.64,6.3,29.37575561109245,-2.011959879823094,-0.7806208110102032,42.80794605010877,39.63273208918394,16.921319404077323,60.4
1536,2024Q1,-10.2838,0.55,0.32,1.0,1.71,4.687688028875857,-16.95755891949609,-1.578244151256919,26.796603291473005,40.355452113206525,16.94217315053188,60.61
1536,2024Q2,-6.9025,0.95,0.47,1.56,0.44,65.91608694939009,-9.238216525853838,0.1541383959704384,48.321714632084905,49.73396681158909,16.930141067329956,61.04
1536,2024Q3,-14.8368,0.76,0.17,0.6,-0.64,-70.63674016273377,-4.0523146975258975,-1.7211629832600086,45.87759953318386,39.85045699243035,16.919309213016955,60.68
1536,2024Q4,4.4893,1.53,0.7,2.2,-1.97,31.642372137017773,12.831621418964762,1.708595675100828,45.340348620554856,61.38301762914418,16.926466906938025,60.13
1536,2025Q1,-24.6117,-0.22,-0.37,-1.16,-6.08,138.68558964702527,5.469341118420499,-1.9000380498021168,40.13118825981036,31.36673562082092,16.923592153476935,60.44
1536,2025Q2,-4.9261,-1.93,-1.91,-6.27,-8.45,48.50529003464803,-1.552880045839971,-0.9000935276851745,42.52618831151688,41.85043617666652,16.88984756734413,62.56
1536,2025Q3,-8.4058,-1.89,-2.05,-6.79,-7.83,-6.971572448418054,7.45868706568073,-0.5648921967008663,43.81985385789877,42.32222264038284,16.89246713314233,62.67
1536,2025Q4,-3.2927,-2.5,-2.71,-9.07,-10.51,-116.89312918749334,-5.123500976819871,-0.9124748819473344,32.96887195491068,37.6521620686826,16.886885596702946,63.33
1537,2020Q1,-10.4375,3.86,2.57,5.04,14.7,-2.511212392956617,-27.1554764491894,-3.204860540673683,43.76453720906103,45.23526774199768,15.510221353749952,21.41
1537,2020Q2,2.7778,7.26,4.96,10.58,15.64,50.90002203410311,-18.93563510338742,0.8276785404226626,71.10149723615693,58.17169868693457,15.562532041845484,37.05
1537,2020Q3,-1.7985,12.0,7.91,16.46,16.52,0.8715995647442872,-19.892739917624645,-0.4419124090094513,50.49743490022601,30.359476104923942,15.492938465839876,28.88
1537,2020Q4,0.7143,16.17,10.75,21.84,16.85,6.400376293309618,-17.254669505273327,-0.1868002835522088,55.47348890026049,45.258632250085526,15.510318133846823,26.73
