coid,year,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1103,2020,-9.7418,4.96,2.74,7.54,39.96,14.52642270785956,7.658649385895687,-0.0824778112205251,53.328672070785686,67.40241457323086,17.520416572922187,38.45
1103,2021,16.4133,2.16,1.02,2.94,-23.67,106.8057526963552,25.174815491768086,0.2830406121126432,51.18172319220846,63.41192068880596,17.510562199877374,35.62
1103,2022,-12.9945,-0.1,-0.28,-0.73,-17.54,35.57308179608266,8.974092690289263,-0.2297569660317264,48.30508326246105,40.87780889958618,17.41156816879508,39.65
1103,2023,13.2331,0.71,0.12,0.43,-5.07,-23.81986860081974,23.44396903861864,0.208948877049635,50.5192175961356,51.65900182464901,17.411845190144827,38.52
1103,2024,-8.3092,1.43,0.48,1.53,-5.09,99.64904465032672,13.197358035973927,-0.1286992918613989,47.70612328436625,31.70846453236798,17.373086991929355,38.45
1103,2025,-14.7224,2.23,0.84,2.81,-2.66,35.42941521469463,-3.418767914260792,-0.5480056356847203,48.25336422341904,52.054221498900496,17.30035377898688,42.6
1104,2020,25.0925,5.41,1.91,6.83,9.09,5.6866878920493145,-40.12080889433599,0.4257846344327568,53.98432603400616,54.17622748753894,16.99784421676687,22.06
1104,2021,-2.066,4.62,1.66,5.84,11.68,38.332646670343074,-41.41644051475094,-0.0356481469281241,54.18438833881227,57.34169480469454,17.038251782540023,22.76
1104,2022,7.5801,8.38,3.12,10.67,11.92,12.078976183339936,-36.96927252035368,0.1456646052367956,54.28602970879805,44.92474905256824,17.14097436484515,22.6
1104,2023,44.9379,8.54,3.13,10.62,12.49,15.321979869475328,-8.745513437800936,0.6782753731835953,59.05426948697672,52.5508009514524,17.15446225459672,19.55
1104,2024,3.4995,5.41,2.16,6.49,13.3,4.107396255148306,-5.593977063818612,0.0554804483539011,44.71603865517424,50.92738070631715,17.204213744559276,17.46
1104,2025,11.286,6.08,2.56,7.29,15.38,47.88042667060952,5.051212466077208,0.3741731915538575,50.64190563991155,39.9318671098423,17.252197276770016,19.64
1108,2020,53.7064,5.44,0.97,8.74,9.88,2.4461822830351947,-32.93581297083924,0.8011829836783115,50.32072544429442,68.02614625634536,15.898359662302378,41.99
1108,2021,-0.8563,3.58,0.65,5.64,8.98,42.73488841512675,-33.49178550579601,-0.0011183420214613,44.8366884435728,68.80154483974403,15.900152305107731,42.23
1108,2022,-4.8025,6.96,1.44,12.17,17.15,-43.08945251913016,-36.68862758179747,-0.0496803586015414,48.607585333861,39.73720297474067,16.08369787273433,49.23
1108,2023,54.816,5.84,1.3,10.57,12.02,15.863774013101226,-2.148833847607932,0.7739866107150919,48.72660928521064,55.20861611864453,16.115078403642244,49.14
1108,2024,-2.5272,5.23,1.22,9.63,13.13,-2.3817488663146675,-4.650710254913407,-0.0343583375118612,42.31828530975704,44.20440764274781,16.16031829610935,50.29
